ID_sample,Loci,Raw,Adapt
ADE_25_00718,MiFishU,3307807,1163513
ADE_25_00718,rbcLrouge,3307807,0
ADE_25_00718,rbcLverte,3307807,0
ADE_25_00719,12S160,1008447,473600
ADE_25_00719,18SV9,1008447,0
ADE_25_00719,COIB1,1008447,387449
ADE_25_00719,MiFishU,1008447,13200
ADE_25_00719,rbcLrouge,1008447,0
ADE_25_00719,rbcLverte,1008447,0
ADE_25_00720,12S160,1034183,316005
ADE_25_00720,18SV9,1034183,0
ADE_25_00720,COIB1,1034183,418732
ADE_25_00720,MiFishU,1034183,71716
ADE_25_00720,rbcLrouge,1034183,1
ADE_25_00720,rbcLverte,1034183,0
ADE_25_00730,12S160,2582980,1000287
ADE_25_00730,18SV9,2582980,0
ADE_25_00730,COIB1,2582980,649883
ADE_25_00730,MiFishU,2582980,910824
ADE_25_00730,rbcLrouge,2582980,1
ADE_25_00730,rbcLverte,2582980,0
ADE_25_00731,12S160,1276329,484639
ADE_25_00731,18SV9,1276329,0
ADE_25_00731,COIB1,1276329,428451
ADE_25_00731,MiFishU,1276329,350486
ADE_25_00731,rbcLrouge,1276329,0
ADE_25_00731,rbcLverte,1276329,0
ADE_25_00732,12S160,3102225,1161243
ADE_25_00732,18SV9,3102225,0
ADE_25_00732,COIB1,3102225,722500
ADE_25_00732,MiFishU,3102225,1191613
ADE_25_00732,rbcLrouge,3102225,0
ADE_25_00732,rbcLverte,3102225,0
ADE_25_00733,12S160,2746400,902308
ADE_25_00733,18SV9,2746400,1
ADE_25_00733,COIB1,2746400,557167
ADE_25_00733,MiFishU,2746400,1255279
ADE_25_00733,rbcLrouge,2746400,1
ADE_25_00733,rbcLverte,2746400,1
ADE_25_00734,12S160,2383278,1210183
ADE_25_00734,18SV9,2383278,0
ADE_25_00734,COIB1,2383278,638595
ADE_25_00734,MiFishU,2383278,511640
ADE_25_00734,rbcLrouge,2383278,0
ADE_25_00734,rbcLverte,2383278,1
ADE_25_00735,12S160,2727724,1205051
ADE_25_00735,18SV9,2727724,0
ADE_25_00735,COIB1,2727724,530340
ADE_25_00735,MiFishU,2727724,965242
ADE_25_00735,rbcLrouge,2727724,0
ADE_25_00735,rbcLverte,2727724,2
ADE_25_00736,12S160,2393869,917694
ADE_25_00736,18SV9,2393869,0
ADE_25_00736,COIB1,2393869,595913
ADE_25_00736,MiFishU,2393869,846563
ADE_25_00736,rbcLrouge,2393869,0
ADE_25_00736,rbcLverte,2393869,0
ADE_25_00737,12S160,3616836,1947030
ADE_25_00737,18SV9,3616836,1
ADE_25_00737,COIB1,3616836,688687
ADE_25_00737,MiFishU,3616836,945915
ADE_25_00737,rbcLrouge,3616836,0
ADE_25_00737,rbcLverte,3616836,1
ADE_25_00738,12S160,2222027,775825
ADE_25_00738,18SV9,2222027,0
ADE_25_00738,COIB1,2222027,438638
ADE_25_00738,MiFishU,2222027,988174
ADE_25_00738,rbcLrouge,2222027,0
ADE_25_00738,rbcLverte,2222027,0
ADE_25_00739,12S160,2448141,1405573
ADE_25_00739,18SV9,2448141,0
ADE_25_00739,COIB1,2448141,661409
ADE_25_00739,MiFishU,2448141,347716
ADE_25_00739,rbcLrouge,2448141,1
ADE_25_00739,rbcLverte,2448141,1
ADE_25_00740,12S160,2528274,1516132
ADE_25_00740,18SV9,2528274,0
ADE_25_00740,COIB1,2528274,104066
ADE_25_00740,MiFishU,2528274,741848
ADE_25_00740,rbcLrouge,2528274,1
ADE_25_00740,rbcLverte,2528274,0
ADE_25_00741,12S160,3365031,1441330
ADE_25_00741,18SV9,3365031,0
ADE_25_00741,COIB1,3365031,576547
ADE_25_00741,MiFishU,3365031,1317048
ADE_25_00741,rbcLrouge,3365031,1
ADE_25_00741,rbcLverte,3365031,0
ADE_25_00742,12S160,2772816,505393
ADE_25_00742,18SV9,2772816,1
ADE_25_00742,COIB1,2772816,712938
ADE_25_00742,MiFishU,2772816,1536629
ADE_25_00742,rbcLrouge,2772816,1
ADE_25_00742,rbcLverte,2772816,0
ADE_25_00743,12S160,3069394,1205371
ADE_25_00743,18SV9,3069394,0
ADE_25_00743,COIB1,3069394,677099
ADE_25_00743,MiFishU,3069394,1159643
ADE_25_00743,rbcLrouge,3069394,1
ADE_25_00743,rbcLverte,3069394,0
ADE_25_00744,12S160,2335790,1261706
ADE_25_00744,18SV9,2335790,2
ADE_25_00744,COIB1,2335790,413264
ADE_25_00744,MiFishU,2335790,635026
ADE_25_00744,rbcLrouge,2335790,0
ADE_25_00744,rbcLverte,2335790,1
ADE_25_00745,12S160,4725061,2028398
ADE_25_00745,18SV9,4725061,0
ADE_25_00745,COIB1,4725061,480060
ADE_25_00745,MiFishU,4725061,2175404
ADE_25_00745,rbcLrouge,4725061,0
ADE_25_00745,rbcLverte,4725061,0
ADE_25_00746,12S160,2569810,1165611
ADE_25_00746,18SV9,2569810,0
ADE_25_00746,COIB1,2569810,997343
ADE_25_00746,MiFishU,2569810,373241
ADE_25_00746,rbcLrouge,2569810,0
ADE_25_00746,rbcLverte,2569810,0
ADE_25_00747,12S160,2684175,1050107
ADE_25_00747,18SV9,2684175,0
ADE_25_00747,COIB1,2684175,416856
ADE_25_00747,MiFishU,2684175,1193085
ADE_25_00747,rbcLrouge,2684175,1
ADE_25_00747,rbcLverte,2684175,0
ADE_25_00748,12S160,2778933,1260794
ADE_25_00748,18SV9,2778933,0
ADE_25_00748,COIB1,2778933,975644
ADE_25_00748,MiFishU,2778933,507448
ADE_25_00748,rbcLrouge,2778933,0
ADE_25_00748,rbcLverte,2778933,1
ADE_25_00749,12S160,3821733,1527533
ADE_25_00749,18SV9,3821733,2
ADE_25_00749,COIB1,3821733,725076
ADE_25_00749,MiFishU,3821733,1536082
ADE_25_00749,rbcLrouge,3821733,1
ADE_25_00749,rbcLverte,3821733,0
ADE_25_00750,12S160,1231773,243209
ADE_25_00750,18SV9,1231773,0
ADE_25_00750,COIB1,1231773,878964
ADE_25_00750,MiFishU,1231773,98288
ADE_25_00750,rbcLrouge,1231773,0
ADE_25_00750,rbcLverte,1231773,0
ADE_25_00751,12S160,722257,332817
ADE_25_00751,18SV9,722257,0
ADE_25_00751,COIB1,722257,114939
ADE_25_00751,MiFishU,722257,267205
ADE_25_00751,rbcLrouge,722257,0
ADE_25_00751,rbcLverte,722257,0
ADE_25_00752,12S160,2830096,1079538
ADE_25_00752,18SV9,2830096,1
ADE_25_00752,COIB1,2830096,926649
ADE_25_00752,MiFishU,2830096,795813
ADE_25_00752,rbcLrouge,2830096,0
ADE_25_00752,rbcLverte,2830096,0
ADE_25_00753,12S160,2148188,1039568
ADE_25_00753,18SV9,2148188,0
ADE_25_00753,COIB1,2148188,389070
ADE_25_00753,MiFishU,2148188,696471
ADE_25_00753,rbcLrouge,2148188,1
ADE_25_00753,rbcLverte,2148188,1
ADE_25_00754,12S160,2220277,948835
ADE_25_00754,18SV9,2220277,0
ADE_25_00754,COIB1,2220277,966207
ADE_25_00754,MiFishU,2220277,283310
ADE_25_00754,rbcLrouge,2220277,1
ADE_25_00754,rbcLverte,2220277,0
ADE_25_00755,12S160,6417784,1517333
ADE_25_00755,18SV9,6417784,0
ADE_25_00755,COIB1,6417784,4763082
ADE_25_00755,MiFishU,6417784,28577
ADE_25_00755,rbcLrouge,6417784,2
ADE_25_00755,rbcLverte,6417784,2
ADE_25_00756,12S160,2262544,1106556
ADE_25_00756,18SV9,2262544,0
ADE_25_00756,COIB1,2262544,503952
ADE_25_00756,MiFishU,2262544,623873
ADE_25_00756,rbcLrouge,2262544,1
ADE_25_00756,rbcLverte,2262544,2
ADE_25_00757,12S160,1687436,636492
ADE_25_00757,18SV9,1687436,0
ADE_25_00757,COIB1,1687436,389753
ADE_25_00757,MiFishU,1687436,645762
ADE_25_00757,rbcLrouge,1687436,0
ADE_25_00757,rbcLverte,1687436,1
ADE_25_00758,12S160,2311044,791421
ADE_25_00758,18SV9,2311044,0
ADE_25_00758,COIB1,2311044,300101
ADE_25_00758,MiFishU,2311044,1201481
ADE_25_00758,rbcLrouge,2311044,3
ADE_25_00758,rbcLverte,2311044,0
ADE_25_00759,12S160,3006961,663927
ADE_25_00759,18SV9,3006961,0
ADE_25_00759,COIB1,3006961,1032259
ADE_25_00759,MiFishU,3006961,1271128
ADE_25_00759,rbcLrouge,3006961,0
ADE_25_00759,rbcLverte,3006961,0
ADE_25_00760,12S160,3414712,893716
ADE_25_00760,18SV9,3414712,0
ADE_25_00760,COIB1,3414712,781432
ADE_25_00760,MiFishU,3414712,1621838
ADE_25_00760,rbcLrouge,3414712,2
ADE_25_00760,rbcLverte,3414712,1
ADE_25_00761,12S160,979270,445944
ADE_25_00761,18SV9,979270,0
ADE_25_00761,COIB1,979270,506017
ADE_25_00761,MiFishU,979270,7928
ADE_25_00761,rbcLrouge,979270,0
ADE_25_00761,rbcLverte,979270,0
ADE_25_00762,12S160,3074812,1371763
ADE_25_00762,18SV9,3074812,1
ADE_25_00762,COIB1,3074812,653515
ADE_25_00762,MiFishU,3074812,995651
ADE_25_00762,rbcLrouge,3074812,0
ADE_25_00762,rbcLverte,3074812,0
ADE_25_00763,12S160,2707849,1225107
ADE_25_00763,18SV9,2707849,0
ADE_25_00763,COIB1,2707849,869052
ADE_25_00763,MiFishU,2707849,571917
ADE_25_00763,rbcLrouge,2707849,1
ADE_25_00763,rbcLverte,2707849,1
ADE_25_00764,12S160,2844721,1020423
ADE_25_00764,18SV9,2844721,0
ADE_25_00764,COIB1,2844721,766823
ADE_25_00764,MiFishU,2844721,1034650
ADE_25_00764,rbcLrouge,2844721,0
ADE_25_00764,rbcLverte,2844721,2
ADE_25_00765,12S160,2395982,860196
ADE_25_00765,18SV9,2395982,2
ADE_25_00765,COIB1,2395982,1456683
ADE_25_00765,MiFishU,2395982,10888
ADE_25_00765,rbcLrouge,2395982,0
ADE_25_00765,rbcLverte,2395982,0
ADE_25_00766,12S160,4030000,1576039
ADE_25_00766,18SV9,4030000,0
ADE_25_00766,COIB1,4030000,617807
ADE_25_00766,MiFishU,4030000,1798406
ADE_25_00766,rbcLrouge,4030000,2
ADE_25_00766,rbcLverte,4030000,1
ADE_25_00767,12S160,2842742,1416416
ADE_25_00767,18SV9,2842742,0
ADE_25_00767,COIB1,2842742,879529
ADE_25_00767,MiFishU,2842742,513915
ADE_25_00767,rbcLrouge,2842742,0
ADE_25_00767,rbcLverte,2842742,0
ADE_25_00768,12S160,2806886,1036915
ADE_25_00768,18SV9,2806886,0
ADE_25_00768,COIB1,2806886,489632
ADE_25_00768,MiFishU,2806886,1255589
ADE_25_00768,rbcLrouge,2806886,0
ADE_25_00768,rbcLverte,2806886,0
ADE_25_00769,12S160,3352101,1969525
ADE_25_00769,18SV9,3352101,0
ADE_25_00769,COIB1,3352101,1196409
ADE_25_00769,MiFishU,3352101,119653
ADE_25_00769,rbcLrouge,3352101,0
ADE_25_00769,rbcLverte,3352101,0
ADE_25_00770,12S160,3368923,1179991
ADE_25_00770,18SV9,3368923,0
ADE_25_00770,COIB1,3368923,473181
ADE_25_00770,MiFishU,3368923,1687262
ADE_25_00770,rbcLrouge,3368923,3
ADE_25_00770,rbcLverte,3368923,1
ADE_25_00771,12S160,2896222,1420498
ADE_25_00771,18SV9,2896222,1
ADE_25_00771,COIB1,2896222,795265
ADE_25_00771,MiFishU,2896222,652833
ADE_25_00771,rbcLrouge,2896222,1
ADE_25_00771,rbcLverte,2896222,0
ADE_25_00772,12S160,1947558,415513
ADE_25_00772,18SV9,1947558,0
ADE_25_00772,COIB1,1947558,1282618
ADE_25_00772,MiFishU,1947558,172780
ADE_25_00772,rbcLrouge,1947558,0
ADE_25_00772,rbcLverte,1947558,1
ADE_25_00773,12S160,1371140,480632
ADE_25_00773,18SV9,1371140,0
