ID,Loci,Remove,Reads,N
ADE_25_01195_12S160,12S160,870963,Adapt,1184276
ADE_25_01196_12S160,12S160,560909,Dada2,27
ADE_25_01196_12S160,12S160,560909,Adapt,560936
ADE_25_01197_12S160,12S160,354478,Dada2,784050
ADE_25_01197_12S160,12S160,354478,Adapt,1138528
ADE_25_01198_12S160,12S160,369187,Dada2,939025
ADE_25_01198_12S160,12S160,369187,Adapt,1308212
ADE_25_01199_12S160,12S160,286838,Dada2,1480332
ADE_25_01199_12S160,12S160,286838,Adapt,1767170
ADE_25_01200_12S160,12S160,502631,Dada2,1002183
ADE_25_01200_12S160,12S160,502631,Adapt,1504814
ADE_25_01201_12S160,12S160,318291,Dada2,493450
ADE_25_01201_12S160,12S160,318291,Adapt,811741
ADE_25_01202_12S160,12S160,422727,Dada2,1123368
ADE_25_01202_12S160,12S160,422727,Adapt,1546095
ADE_25_01203_12S160,12S160,177925,Dada2,444792
ADE_25_01203_12S160,12S160,177925,Adapt,622717
ADE_25_01204_12S160,12S160,205680,Dada2,622933
ADE_25_01204_12S160,12S160,205680,Adapt,828613
ADE_25_01205_12S160,12S160,163381,Dada2,607921
ADE_25_01205_12S160,12S160,163381,Adapt,771302
ADE_25_01206_12S160,12S160,316762,Dada2,765384
ADE_25_01206_12S160,12S160,316762,Adapt,1082146
ADE_25_01207_12S160,12S160,453884,Dada2,770571
ADE_25_01207_12S160,12S160,453884,Adapt,1224455
ADE_25_01208_12S160,12S160,349883,Dada2,970078
ADE_25_01208_12S160,12S160,349883,Adapt,1319961
ADE_25_01209_12S160,12S160,367581,Dada2,1441291
ADE_25_01209_12S160,12S160,367581,Adapt,1808872
ADE_25_01210_12S160,12S160,342379,Dada2,1295546
ADE_25_01210_12S160,12S160,342379,Adapt,1637925
ADE_25_01211_12S160,12S160,411203,Dada2,1713188
ADE_25_01211_12S160,12S160,411203,Adapt,2124391
ADE_25_01212_12S160,12S160,300214,Dada2,1093101
ADE_25_01212_12S160,12S160,300214,Adapt,1393315
ADE_25_01213_12S160,12S160,264525,Dada2,1022604
ADE_25_01213_12S160,12S160,264525,Adapt,1287129
ADE_25_01214_12S160,12S160,444629,Dada2,1331154
ADE_25_01214_12S160,12S160,444629,Adapt,1775783
ADE_25_01215_12S160,12S160,603265,Dada2,697155
ADE_25_01215_12S160,12S160,603265,Adapt,1300420
ADE_25_01216_12S160,12S160,680788,Dada2,922048
ADE_25_01216_12S160,12S160,680788,Adapt,1602836
ADE_25_01217_12S160,12S160,555910,Dada2,1196136
ADE_25_01217_12S160,12S160,555910,Adapt,1752046
