ID_sample,Loci,Merge,Final,ESVlength
ADE_25_00695,COIB1,2147290,1491607,2142251
ADE_25_00696,COIB1,43125,43124,43125
ADE_25_00697,COIB1,795511,578536,794094
ADE_25_00698,COIB1,366867,308374,365555
ADE_25_00699,COIB1,287956,253764,286735
ADE_25_00700,COIB1,3073085,2115879,3073080
ADE_25_00701,COIB1,306422,240854,305120
ADE_25_00702,COIB1,680991,574062,680600
ADE_25_00703,COIB1,254384,213518,254224
ADE_25_00704,COIB1,527706,442940,527049
ADE_25_00705,COIB1,793670,743151,793263
ADE_25_00706,COIB1,1121447,1026825,1121153
ADE_25_00707,COIB1,244448,220616,244179
ADE_25_00708,COIB1,1010864,823204,1010249
ADE_25_00709,COIB1,488740,432522,488247
ADE_25_00710,COIB1,899357,718696,898867
ADE_25_00711,COIB1,892799,886530,892786
ADE_25_00712,COIB1,413288,306057,412258
ADE_25_00713,COIB1,331019,283720,330605
ADE_25_00714,COIB1,1177893,1137027,1154920
ADE_25_00715,COIB1,113775,98678,112043
ADE_25_00716,COIB1,1474059,1063815,1473720
ADE_25_00717,COIB1,313775,245697,313136
ADE_25_00718,COIB1,531805,463320,531607
ADE_25_00719,COIB1,508,257,257
ADE_25_00720,COIB1,73976,73820,73877
ADE_25_00730,COIB1,491953,412576,491249
ADE_25_00731,COIB1,262484,177999,181594
ADE_25_00732,COIB1,526243,412717,525313
ADE_25_00733,COIB1,368440,319222,344263
ADE_25_00734,COIB1,457429,361875,456904
ADE_25_00735,COIB1,381042,333821,373983
ADE_25_00736,COIB1,437499,356566,436369
ADE_25_00737,COIB1,447644,364243,397435
ADE_25_00738,COIB1,318609,266939,312151
ADE_25_00739,COIB1,410786,350506,376546
ADE_25_00740,COIB1,2459,10,10
ADE_25_00741,COIB1,398317,301455,397880
ADE_25_00742,COIB1,349349,240413,255477
ADE_25_00743,COIB1,459904,333129,457658
ADE_25_00744,COIB1,188464,120692,126108
ADE_25_00745,COIB1,320921,242418,320412
ADE_25_00746,COIB1,569130,437329,452924
ADE_25_00747,COIB1,272585,202989,272127
ADE_25_00748,COIB1,632317,537928,583676
ADE_25_00749,COIB1,512174,389373,511688
ADE_25_00750,COIB1,429329,261084,273192
ADE_25_00751,COIB1,72819,63048,72541
ADE_25_00752,COIB1,579295,489763,537032
ADE_25_00753,COIB1,257647,192494,257252
ADE_25_00754,COIB1,547179,455051,466353
ADE_25_00755,COIB1,3482770,3462817,3482719
ADE_25_00756,COIB1,322734,303166,317586
ADE_25_00757,COIB1,264812,226189,250004
ADE_25_00758,COIB1,201695,156263,201341
ADE_25_00759,COIB1,376818,145111,169525
ADE_25_00760,COIB1,580780,476888,579731
ADE_25_00761,COIB1,305748,257188,264890
ADE_25_00762,COIB1,428981,356366,428227
ADE_25_00763,COIB1,580400,518658,548367
ADE_25_00764,COIB1,575435,462821,575059
ADE_25_00765,COIB1,943498,871487,892517
ADE_25_00766,COIB1,443865,338056,443449
ADE_25_00767,COIB1,565386,499331,519160
ADE_25_00768,COIB1,335597,285781,334579
ADE_25_00769,COIB1,666870,517548,530957
ADE_25_00770,COIB1,321884,255966,321528
ADE_25_00771,COIB1,492718,407108,422865
ADE_25_00772,COIB1,895337,890662,895260
ADE_25_00773,COIB1,5926,5926,5926
ADE_25_01177,COIB1,2398882,1879304,2398660
ADE_25_01178,COIB1,2270827,1758468,2270555
ADE_25_01179,COIB1,2123855,1650366,2123759
ADE_25_01180,COIB1,1257228,1187040,1257175
ADE_25_01181,COIB1,886523,844027,886396
ADE_25_01182,COIB1,1223534,1153656,1223491
ADE_25_01183,COIB1,1,1,1
ADE_25_01184,COIB1,1088161,895655,1088111
ADE_25_01185,COIB1,1567974,1251022,1567926
ADE_25_01186,COIB1,1581623,1243985,1581563
ADE_25_01187,COIB1,820508,754988,820468
ADE_25_01188,COIB1,747005,669363,746945
